Time [s], Analyzer Name, Decoded Protocol Result
3.575637380000000,SPI,MOSI: 0x88;  MISO: 0x00
3.575645380000000,SPI,MOSI: 0x00;  MISO: 0x44
3.575706960000000,SPI,MOSI: 0x88;  MISO: 0x00
3.575714960000000,SPI,MOSI: 0x00;  MISO: 0x44
3.575776380000000,SPI,MOSI: 0x88;  MISO: 0x00
3.575784380000000,SPI,MOSI: 0x00;  MISO: 0x44
3.575851760000000,SPI,MOSI: 0x00;  MISO: 0x08
3.575916460000000,SPI,MOSI: 0x88;  MISO: 0x00
3.575924460000000,SPI,MOSI: 0x00;  MISO: 0x44
3.575986740000000,SPI,MOSI: 0x88;  MISO: 0x00
3.575994740000000,SPI,MOSI: 0x00;  MISO: 0x44
3.576057000000000,SPI,MOSI: 0x88;  MISO: 0x00
3.576065000000000,SPI,MOSI: 0x00;  MISO: 0x44
3.576127900000000,SPI,MOSI: 0x88;  MISO: 0x00
3.576135900000000,SPI,MOSI: 0x00;  MISO: 0x44
3.576198040000000,SPI,MOSI: 0x88;  MISO: 0x00
3.576206040000000,SPI,MOSI: 0x00;  MISO: 0x44
3.576267980000000,SPI,MOSI: 0x88;  MISO: 0x00
3.576275980000000,SPI,MOSI: 0x00;  MISO: 0x44
3.576337680000000,SPI,MOSI: 0x88;  MISO: 0x00
3.576345680000000,SPI,MOSI: 0x00;  MISO: 0x44
3.576407540000000,SPI,MOSI: 0x88;  MISO: 0x00
3.576415540000000,SPI,MOSI: 0x00;  MISO: 0x44
3.576477740000000,SPI,MOSI: 0x88;  MISO: 0x00
3.576485740000000,SPI,MOSI: 0x00;  MISO: 0x44
3.576548940000000,SPI,MOSI: 0x88;  MISO: 0x00
3.576556920000000,SPI,MOSI: 0x00;  MISO: 0x44
3.576619360000000,SPI,MOSI: 0x88;  MISO: 0x00
3.576627360000000,SPI,MOSI: 0x00;  MISO: 0x44
3.576689200000000,SPI,MOSI: 0x88;  MISO: 0x00
3.576697200000000,SPI,MOSI: 0x00;  MISO: 0x44
3.576759680000000,SPI,MOSI: 0x88;  MISO: 0x00
3.576767680000000,SPI,MOSI: 0x00;  MISO: 0x44
3.576829420000000,SPI,MOSI: 0x88;  MISO: 0x00
3.576837420000000,SPI,MOSI: 0x00;  MISO: 0x44
3.576899580000000,SPI,MOSI: 0x88;  MISO: 0x00
3.576907580000000,SPI,MOSI: 0x00;  MISO: 0x44
3.576969200000000,SPI,MOSI: 0x88;  MISO: 0x00
3.576977200000000,SPI,MOSI: 0x00;  MISO: 0x44
3.577039020000000,SPI,MOSI: 0x88;  MISO: 0x00
3.577047020000000,SPI,MOSI: 0x00;  MISO: 0x44
3.577110060000000,SPI,MOSI: 0x88;  MISO: 0x00
3.577118060000000,SPI,MOSI: 0x00;  MISO: 0x44
